ID	NPS	Energy1	Energy2
231	3598	0.031	0.1967
232	3600	0.031	0.19775
233	3602	0.031	0.19509
234	3604	0.031	0.1971
235	3607	0.031	0.1988
236	3643	0.031	0.19213
237	3647	0.031	0.19697
238	3665	0.031	0.19787
239	3686	0.031	0.058212
240	3689	0.031	0.1985
241	3692	0.031	0.19241
242	3694	0.031	0.19139
243	3699	0.031	0.17791
244	3708	0.031	0.19876
245	3712	0.031	0.19317
246	3721	0.031	0.19412
247	3723	0.031	0.19071
248	3724	0.031	0.19736
249	3735	0.031	0.19127
250	3787	0.031	0.19868
251	3788	0.031	0.19641
252	3791	0.031	0.19695
253	3798	0.031	0.19403
254	3799	0.031	0.19529
255	3811	0.031	0.19898
256	3815	0.031	0.17137
257	3818	0.031	0.19752
258	3827	0.031	0.19748
259	3848	0.031	0.18682
260	3859	0.031	0.19688
261	3875	0.031	0.19287
262	3877	0.031	0.18076
263	3888	0.031	0.1984
264	3892	0.031	0.19558
265	3915	0.031	0.19822
266	3917	0.031	0.18913
267	3947	0.031	0.19888
268	3978	0.031	0.19843
269	4013	0.031	0.19775
270	4051	0.031	0.19465
271	4079	0.031	0.19798
272	4103	0.031	0.19658
273	4127	0.031	0.19328
274	4130	0.031	0.19595
275	4142	0.031	0.17149
276	4151	0.031	0.1899
277	4155	0.031	0.1981
278	4167	0.031	0.19708
279	4195	0.031	0.19727
280	4196	0.031	0.19438
281	4200	0.031	0.19707
282	4216	0.02866	0.194
283	4230	0.031	0.19811
284	4231	0.031	0.1901
285	4254	0.031	0.19857
286	4258	0.031	0.18772
287	4260	0.031	0.19208
288	4261	0.031	0.1982
289	4269	0.031	0.19422
290	4285	0.031	0.19699
291	4286	0.031	0.19075
292	4307	0.031	0.19827
293	4310	0.031	0.19405
294	4314	0.031	0.19693
295	4331	0.031	0.1972
296	4340	0.031	0.19583
297	4350	0.031	0.19419
298	4353	0.031	0.1938
299	4373	0.031	0.19139
300	4386	0.031	0.19783
301	4387	0.031	0.19635
302	4408	0.031	0.19705
303	4414	0.031	0.19211
304	4454	0.031	0.19275
305	4467	0.031	0.19879
306	4521	0.031	0.19129
307	4536	0.031	0.19786
308	4558	0.031	0.19651
309	4559	0.031	0.19879
310	4573	0.031	0.18763
311	4585	0.031	0.19193
312	4586	0.031	0.19217
313	4615	0.031	0.19628
314	4655	0.031	0.18455
315	4656	0.031	0.19546
316	4664	0.031	0.19464
317	4666	0.031	0.19431
318	4689	0.031	0.17401
319	4700	0.031	0.19157
320	4724	0.031	0.19888
321	4745	0.031	0.19138
322	4755	0.031	0.19829
323	4760	0.031	0.19098
324	4779	0.031	0.19015
325	4788	0.031	0.18661
326	4800	0.031	0.19649
327	4822	0.029089	0.19284
328	4867	0.031	0.18926
329	4899	0.031	0.17725
330	4911	0.031	0.19412
331	4927	0.031	0.19695
332	4931	0.031	0.19883
333	4933	0.031	0.19555
334	4934	0.031	0.19283
335	4936	0.030286	0.19597
336	4953	0.031	0.19268
337	4957	0.029	0.19374
338	4963	0.031	0.19426
339	4986	0.031	0.1939
340	5003	0.031	0.19426
341	5010	0.031	0.1969
342	5012	0.028599	0.19249
343	5013	0.031	0.19828
344	5021	0.031	0.19225
345	5029	0.031	0.19761
346	5058	0.031	0.1989
347	5060	0.031	0.19042
348	5095	0.031	0.19767
349	5107	0.031	0.19539
350	5140	0.031	0.19832
351	5146	0.031	0.19842
352	5170	0.031	0.18946
353	5192	0.031	0.19898
354	5207	0.031	0.19444
355	5228	0.031	0.18722
356	5253	0.031	0.19344
357	5288	0.031	0.1962
358	5292	0.031	0.1968
359	5312	0.031	0.19751
360	5334	0.031	0.16381
361	5337	0.031	0.19684
362	5340	0.031	0.19366
363	5343	0.031	0.19563
364	5351	0.031	0.19503
365	5414	0.031	0.19757
366	5422	0.031	0.19775
367	5428	0.031	0.194
368	5444	0.031	0.1987
369	5447	0.031	0.1922
370	5450	0.031	0.19703
371	5467	0.031	0.1981
372	5479	0.031	0.19616
373	5489	0.031	0.19847
374	5492	0.031	0.19772
375	5514	0.031	0.19714
376	5535	0.0297	0.1968
377	5546	0.031	0.17272
378	5564	0.031	0.1889
379	5565	0.031	0.19321
380	5569	0.031	0.19858
381	5570	0.031	0.19492
382	5583	0.031	0.19503
383	5604	0.031	0.18929
384	5636	0.031	0.19443
385	5694	0.031	0.1967
386	5701	0.031	0.19566
387	5716	0.031	0.19317
388	5729	0.031	0.19779
389	5733	0.031	0.19676
390	5743	0.031	0.19366
391	5748	0.031	0.19885
392	5790	0.031	0.19314
393	5797	0.031	0.19785
394	5803	0.031	0.19794
395	5815	0.031	0.19448
396	5836	0.031	0.18986
397	5841	0.031	0.19698
398	5847	0.031	0.19574
399	5855	0.031	0.19587
400	5864	0.031	0.17075
401	5899	0.031	0.18772
402	5903	0.031	0.19624
403	5906	0.031	0.19772
404	5907	0.031	0.18836
405	5914	0.031	0.19138
406	5920	0.031	0.1969
407	5966	0.030796	0.18302
408	6023	0.031	0.19827
409	6033	0.031	0.19823
410	6051	0.031	0.1966
411	6052	0.031	0.19308
412	6055	0.031	0.199
413	6073	0.031	0.19184
414	6087	0.031	0.19807
415	6103	0.031	0.18859
416	6106	0.031	0.19236
417	6149	0.031	0.19791
418	6150	0.031	0.19746
419	6168	0.031	0.19798
420	6169	0.031	0.19712
421	6170	0.031	0.19883
422	6176	0.031	0.19046
423	6192	0.031	0.19826
424	6198	0.031	0.19795
425	6207	0.031	0.19244
426	6215	0.031	0.1978
427	6219	0.031	0.197
428	6224	0.031	0.18564
429	6227	0.031	0.1966
430	6243	0.031	0.19409
431	6249	0.031	0.1978
432	6260	0.031	0.19521
433	6268	0.031	0.19472
434	6270	0.031	0.19665
435	6281	0.031	0.19412
436	6283	0.031	0.19605
437	6286	0.031	0.19379
438	6297	0.031	0.19824
439	6298	0.031	0.19683
440	6302	0.031	0.19202
441	6309	0.031	0.19655
442	6311	0.031	0.19723
443	6315	0.031	0.19861
444	6317	0.031	0.19116
445	6328	0.031	0.19808
446	6354	0.031	0.19781
447	6363	0.031	0.18668
448	6368	0.031	0.19823
449	6388	0.031	0.19694
450	6417	0.031	0.19844
451	6419	0.031	0.19764
452	6422	0.031	0.19629
453	6433	0.031	0.19562
454	6442	0.031	0.19395
455	6472	0.031	0.19606
456	6475	0.031	0.19594
457	6480	0.031	0.19451
458	6541	0.031	0.19562
459	6544	0.031	0.19591
460	6570	0.028581	0.19874
461	6597	0.031	0.19404
462	6606	0.031	0.19635
463	6618	0.031	0.19489
464	6622	0.031	0.19806
465	6647	0.031	0.19
466	6656	0.031	0.19319
