ID	NPS	Energy1	Energy2
230	4260	0.081	0.18908
231	4278	0.081	0.14386
232	4285	0.081	0.21081
233	4307	0.081	0.075539
234	4331	0.081	0.15955
235	4340	0.081	0.20055
236	4341	0.081	0.17047
237	4348	0.075288	0.066182
238	4350	0.081	0.03573
239	4353	0.081	0.18256
240	4373	0.081	0.1045
241	4381	0.081	0.12776
242	4386	0.081	0.13242
243	4387	0.081	0.030963
244	4397	0.064465	0.19336
245	4408	0.081	0.034114
246	4414	0.081	0.046997
247	4453	0.081	0.065882
248	4488	0.081	0.040706
249	4521	0.081	0.19816
250	4530	0.081	0.026318
251	4536	0.081	0.17805
252	4559	0.081	0.043873
253	4573	0.081	0.068341
254	4585	0.081	0.07953
255	4586	0.081	0.011092
256	4623	0.081	0.12208
257	4655	0.081	0.05463
258	4664	0.081	0.087681
259	4666	0.081	0.11348
260	4700	0.081	0.036388
261	4724	0.081	0.076315
262	4745	0.081	0.024301
263	4760	0.081	0.12872
264	4800	0.081	0.084966
265	4822	0.081	0.073748
266	4851	0.063225	0.17417
267	4867	0.081	0.028983
268	4911	0.081	0.15465
269	4927	0.081	0.05562
270	4931	0.081	0.094032
271	4933	0.081	0.13621
272	4934	0.081	0.24193
273	4936	0.081	0.1299
274	4963	0.081	0.068464
275	4986	0.081	0.090118
276	4990	0.081	0.061175
277	5012	0.066884	0.12783
278	5013	0.081	0.13998
279	5021	0.081	0.25626
280	5029	0.081	0.034613
281	5060	0.081	0.027432
282	5107	0.081	0.2428
283	5124	0.081	0.13732
284	5140	0.081	0.12291
285	5144	0.081	0.094369
286	5146	0.081	0.038707
287	5192	0.081	0.15314
288	5202	0.081	0.10585
289	5207	0.081	0.1887
290	5254	0.0693	0.07812
291	5292	0.081	0.10931
292	5295	0.081	0.020876
293	5312	0.081	0.046861
294	5326	0.063922	0.064758
295	5327	0.081	0.086724
296	5340	0.081	0.079474
297	5343	0.081	0.19893
298	5351	0.081	0.13273
299	5414	0.081	0.26123
300	5422	0.081	0.033614
301	5428	0.081	0.046975
302	5444	0.081	0.096618
303	5447	0.081	0.054846
304	5467	0.081	0.23476
305	5479	0.081	0.042036
306	5489	0.081	0.07052
307	5496	0.081	0.11768
308	5583	0.081	0.22208
309	5611	0.073831	0.059477
310	5636	0.081	0.21964
311	5644	0.081	0.015417
312	5657	0.063679	0.080591
313	5683	0.081	0.050737
314	5694	0.081	0.12685
315	5698	0.081	0.062357
316	5712	0.081	0.12449
317	5716	0.081	0.020803
318	5729	0.081	0.05771
319	5733	0.081	0.10781
320	5743	0.081	0.12199
321	5748	0.081	0.047329
322	5754	0.081	0.1448
323	5770	0.081	0.041003
324	5790	0.081	0.078782
325	5815	0.081	0.048968
326	5836	0.081	0.1162
327	5841	0.081	0.025517
328	5847	0.081	0.1139
329	5864	0.081	0.10739
330	5906	0.081	0.070049
331	5907	0.081	0.20649
332	5920	0.081	0.036688
333	6023	0.081	0.051241
334	6025	0.081	0.25573
335	6033	0.081	0.057295
336	6044	0.070495	0.19279
337	6050	0.081	0.1405
338	6051	0.081	0.084305
339	6055	0.081	0.1033
340	6087	0.081	0.06815
341	6103	0.081	0.042418
342	6106	0.081	0.075147
343	6149	0.081	0.05749
344	6150	0.081	0.058166
345	6168	0.081	0.09947
346	6169	0.081	0.12752
347	6170	0.081	0.13902
348	6176	0.081	0.16514
349	6192	0.081	0.075335
350	6195	0.070377	0.071827
351	6198	0.081	0.10384
352	6215	0.081	0.052716
353	6224	0.081	0.14719
354	6243	0.081	0.1011
355	6260	0.081	0.12963
356	6268	0.081	0.08979
357	6279	0.081	0.030757
358	6281	0.081	0.20698
359	6286	0.081	0.060841
360	6297	0.081	0.048407
361	6298	0.081	0.093975
362	6302	0.081	0.1369
363	6311	0.081	0.061668
364	6328	0.081	0.19168
365	6354	0.081	0.033045
366	6370	0.081	0.098315
367	6388	0.081	0.094489
368	6417	0.081	0.062542
369	6419	0.081	0.067964
370	6422	0.081	0.17915
371	6433	0.081	0.057407
372	6440	0.081	0.18563
373	6442	0.081	0.071652
374	6472	0.081	0.13903
375	6480	0.081	0.10658
376	6575	0.068427	0.26272
377	6596	0.081	0.058309
378	6597	0.081	0.24038
379	6606	0.081	0.10206
380	6618	0.081	0.17306
381	6622	0.081	0.20097
382	6656	0.081	0.14511
383	6720	0.081	0.076735
384	6744	0.081	0.14076
385	6821	0.081	0.10422
386	6823	0.081	0.151
387	6852	0.081	0.058241
388	6853	0.081	0.16144
389	6869	0.081	0.14593
390	6873	0.081	0.053602
391	6879	0.081	0.024052
392	6882	0.081	0.02783
393	6892	0.081	0.13824
394	6947	0.081	0.017978
395	6959	0.081	0.10638
396	7000	0.068583	0.12291
397	7008	0.081	0.09739
398	7024	0.081	0.10691
399	7031	0.081	0.10512
400	7058	0.081	0.052845
401	7066	0.081	0.049926
402	7111	0.081	0.12564
403	7119	0.081	0.21803
404	7126	0.081	0.11586
405	7129	0.081	0.076617
406	7145	0.081	0.076656
407	7154	0.081	0.23849
408	7157	0.081	0.08039
409	7163	0.081	0.090917
410	7193	0.081	0.098481
411	7200	0.081	0.074756
412	7203	0.081	0.21014
413	7210	0.081	0.13235
414	7217	0.070616	0.097581
415	7239	0.081	0.16571
416	7259	0.081	0.24162
417	7283	0.081	0.057333
418	7284	0.081	0.13997
419	7300	0.081	0.05155
420	7302	0.070991	0.13849
421	7321	0.056981	0.18996
422	7330	0.081	0.086931
423	7337	0.081	0.10472
424	7379	0.063804	0.015689
425	7405	0.081	0.18361
426	7406	0.081	0.16151
427	7418	0.081	0.10318
428	7430	0.081	0.13104
429	7445	0.081	0.20522
430	7542	0.081	0.13771
431	7559	0.081	0.080943
432	7566	0.081	0.081027
433	7591	0.081	0.059178
434	7597	0.081	0.055302
435	7603	0.081	0.12521
436	7669	0.081	0.059124
437	7671	0.081	0.14564
438	7699	0.081	0.052231
439	7710	0.081	0.11187
440	7716	0.081	0.10212
441	7752	0.081	0.070036
442	7759	0.081	0.085109
443	7768	0.081	0.24357
444	7797	0.081	0.13035
445	7818	0.081	0.24304
446	7825	0.081	0.19713
447	7909	0.081	0.1052
448	7985	0.081	0.20987
449	7989	0.081	0.12226
450	8007	0.081	0.13615
451	8015	0.081	0.15249
452	8030	0.081	0.10834
453	8031	0.081	0.13448
454	8044	0.081	0.29699
455	8061	0.081	0.078263
456	8074	0.081	0.073978
457	8085	0.081	0.11742
458	8092	0.081	0.11182
459	8094	0.081	0.056596
460	8098	0.081	0.19488
461	8109	0.081	0.15463
462	8121	0.081	0.035765
463	8128	0.081	0.23729
464	8175	0.081	0.17447
465	8207	0.081	0.11132
466	8222	0.081	0.17027
467	8229	0.081	0.12471
468	8240	0.062361	0.10658
469	8249	0.081	0.16053
470	8256	0.081	0.12058
471	8260	0.081	0.041856
472	8267	0.081	0.15796
473	8305	0.081	0.054928
474	8330	0.081	0.25309
475	8400	0.081	0.12202
476	8401	0.081	0.053267
477	8405	0.081	0.17825
478	8407	0.081	0.062108
479	8449	0.081	0.155
480	8467	0.081	0.058837
481	8476	0.081	0.28622
482	8514	0.081	0.22825
483	8520	0.081	0.052683
484	8528	0.081	0.27363
485	8588	0.081	0.20511
486	8665	0.081	0.26878
487	8685	0.081	0.28677
488	8698	0.066132	0.16114
489	8746	0.081	0.041279
490	8750	0.081	0.08829
491	8835	0.081	0.095067
492	8847	0.081	0.10994
493	8854	0.081	0.12567
494	8868	0.081	0.066204
495	8888	0.081	0.020905
496	8904	0.081	0.05998
497	8914	0.081	0.11572
498	8919	0.081	0.22029
499	8935	0.081	0.10475
500	8963	0.081	0.083453
501	9009	0.081	0.13783
502	9013	0.081	0.064011
503	9017	0.081	0.19941
504	9018	0.063482	0.20152
505	9026	0.081	0.084167
506	9075	0.081	0.066599
507	9169	0.081	0.066452
508	9183	0.081	0.062102
509	9186	0.081	0.015733
510	9191	0.081	0.17411
511	9243	0.081	0.034266
512	9251	0.081	0.10536
513	9263	0.081	0.062802
514	9287	0.081	0.083732
515	9299	0.081	0.075404
516	9307	0.081	0.12371
517	9308	0.081	0.10975
518	9334	0.081	0.039792
519	9336	0.081	0.010748
520	9344	0.081	0.082303
521	9358	0.081	0.081687
522	9362	0.081	0.17518
523	9456	0.081	0.084261
524	9458	0.081	0.10243
525	9489	0.081	0.23533
526	9517	0.081	0.24393
527	9520	0.081	0.12589
528	9537	0.081	0.043057
529	9554	0.081	0.022368
530	9587	0.081	0.13668
531	9598	0.081	0.19607
532	9600	0.081	0.067503
533	9627	0.081	0.095298
534	9661	0.081	0.12367
535	9664	0.081	0.19969
536	9702	0.081	0.036699
537	9704	0.081	0.026819
538	9707	0.081	0.011764
539	9787	0.081	0.30154
540	9808	0.081	0.094367
541	9840	0.081	0.11798
542	9848	0.081	0.27747
543	9850	0.081	0.28854
544	9903	0.081	0.074178
545	9962	0.081	0.10657
546	9995	0.081	0.080028
547	10008	0.081	0.1893
548	10016	0.081	0.15489
549	10019	0.081	0.0979
550	10043	0.081	0.20212
551	10045	0.081	0.034112
552	10047	0.081	0.06312
553	10054	0.081	0.16145
554	10064	0.081	0.097485
555	10073	0.081	0.035402
556	10079	0.081	0.090978
557	10130	0.081	0.061675
558	10153	0.081	0.19533
559	10157	0.081	0.10623
560	10183	0.081	0.037112
561	10187	0.081	0.10314
562	10189	0.081	0.10014
563	10213	0.081	0.032652
564	10250	0.081	0.043655
565	10264	0.081	0.10181
566	10327	0.081	0.1036
567	10345	0.081	0.16642
568	10354	0.081	0.08135
569	10359	0.081	0.13484
570	10375	0.081	0.019344
571	10377	0.081	0.11287
572	10402	0.081	0.10505
573	10405	0.081	0.10738
574	10470	0.081	0.19096
575	10545	0.081	0.16103
576	10547	0.081	0.22753
577	10549	0.081	0.034168
578	10565	0.081	0.28399
579	10603	0.081	0.18494
580	10606	0.081	0.10898
581	10632	0.081	0.055534
582	10639	0.081	0.15487
583	10643	0.081	0.059717
584	10683	0.081	0.10505
585	10734	0.081	0.078717
586	10751	0.081	0.11628
587	10766	0.076998	0.076724
588	10771	0.081	0.13134
589	10773	0.081	0.12063
590	10797	0.081	0.086257
591	10807	0.081	0.19152
592	10843	0.081	0.2403
593	10861	0.081	0.080089
594	10868	0.081	0.031171
595	10885	0.081	0.076817
596	10906	0.081	0.12816
597	10910	0.081	0.044399
598	10915	0.081	0.015739
599	10970	0.081	0.094715
600	11008	0.081	0.19225
601	11028	0.081	0.10842
602	11031	0.081	0.035513
603	11048	0.081	0.1969
604	11057	0.081	0.068196
605	11068	0.081	0.17008
606	11085	0.081	0.1811
607	11110	0.081	0.11797
608	11206	0.081	0.085202
609	11207	0.081	0.052259
610	11227	0.081	0.11705
611	11245	0.081	0.12662
612	11252	0.081	0.11453
613	11256	0.081	0.061351
614	11284	0.081	0.14085
615	11292	0.081	0.25873
616	11297	0.081	0.06051
617	11298	0.081	0.034916
618	11304	0.081	0.14859
619	11327	0.081	0.1074
620	11335	0.081	0.16843
621	11348	0.081	0.13619
622	11351	0.081	0.082141
623	11378	0.081	0.036373
624	11381	0.081	0.20552
625	11382	0.081	0.081438
626	11384	0.081	0.14807
627	11385	0.081	0.1229
628	11428	0.081	0.20513
629	11459	0.081	0.26214
630	11465	0.081	0.23392
631	11478	0.081	0.064465
632	11490	0.081	0.04875
633	11527	0.081	0.13074
634	11530	0.081	0.22031
635	11538	0.081	0.18618
636	11572	0.081	0.10361
637	11594	0.081	0.11913
638	11614	0.081	0.079304
639	11621	0.081	0.070789
640	11622	0.081	0.19808
641	11644	0.081	0.12598
642	11655	0.081	0.17541
643	11673	0.081	0.21381
644	11675	0.029452	0.18086
645	11702	0.081	0.054239
646	11707	0.081	0.052812
647	11792	0.081	0.20721
648	11827	0.081	0.099937
649	11865	0.081	0.10754
650	11873	0.081	0.075117
651	11912	0.081	0.06713
652	11913	0.081	0.29128
653	11916	0.081	0.048543
654	11921	0.08043	0.21669
655	11927	0.081	0.020481
656	11929	0.081	0.1084
657	11932	0.081	0.17489
658	11988	0.081	0.20544
659	12002	0.081	0.02083
660	12005	0.081	0.25497
661	12023	0.081	0.070317
662	12043	0.081	0.23396
663	12051	0.081	0.30657
664	12069	0.081	0.19471
665	12093	0.081	0.22327
666	12129	0.081	0.22284
667	12160	0.081	0.23189
668	12203	0.081	0.11068
669	12209	0.081	0.1212
670	12247	0.081	0.25862
671	12248	0.081	0.1923
672	12301	0.081	0.056509
673	12306	0.081	0.051284
674	12307	0.081	0.11722
675	12319	0.081	0.18478
676	12333	0.064077	0.076745
677	12345	0.081	0.10852
678	12346	0.081	0.10162
679	12347	0.081	0.099155
680	12351	0.081	0.12742
681	12372	0.081	0.071503
682	12389	0.081	0.2245
683	12402	0.081	0.080073
684	12456	0.081	0.091187
685	12457	0.081	0.04896
686	12459	0.081	0.23099
687	12468	0.081	0.19825
688	12480	0.081	0.045768
689	12482	0.081	0.20078
690	12499	0.081	0.048691
691	12517	0.081	0.072721
692	12524	0.081	0.077411
