ID	NPS	Energy1	Energy2
1	8	0.031	0.12798
2	11	0.031	0.12422
3	25	0.031	0.1155
4	35	0.031	0.12124
5	42	0.031	0.12785
6	63	0.031	0.11981
7	72	0.031	0.12088
8	88	0.031	0.129
9	96	0.031	0.12183
10	103	0.031	0.11101
11	105	0.031	0.1226
12	117	0.031	0.12881
13	123	0.031	0.11235
14	129	0.031	0.1268
15	168	0.031	0.11924
16	171	0.031	0.11362
17	204	0.031	0.11841
18	207	0.031	0.11956
19	263	0.031	0.12407
20	289	0.030771	0.11124
21	297	0.031	0.12444
22	299	0.031	0.12081
23	307	0.031	0.12764
24	321	0.031	0.12762
25	323	0.031	0.12366
26	359	0.031	0.12695
27	378	0.029015	0.12577
28	399	0.031	0.086524
29	402	0.031	0.12724
30	421	0.031	0.12701
31	481	0.029512	0.029018
32	484	0.031	0.12703
33	499	0.031	0.12745
34	506	0.031	0.12736
35	519	0.031	0.11416
36	566	0.031	0.12568
37	583	0.031	0.12697
38	602	0.031	0.10337
39	616	0.031	0.12013
40	625	0.031	0.11246
41	644	0.031	0.12258
42	683	0.031	0.12302
43	686	0.031	0.12031
44	718	0.031	0.12601
45	724	0.031	0.12451
46	775	0.031	0.12511
47	794	0.031	0.12363
48	803	0.028075	0.10369
49	839	0.031	0.11754
50	847	0.031	0.12872
51	888	0.031	0.12875
52	893	0.031	0.12663
53	929	0.031	0.12621
54	957	0.031	0.11849
55	961	0.031	0.12722
56	978	0.031	0.11949
57	999	0.031	0.12527
58	1033	0.031	0.1275
59	1067	0.030775	0.12098
60	1075	0.031	0.12831
61	1127	0.031	0.12814
62	1145	0.031	0.10814
63	1151	0.031	0.12333
64	1156	0.031	0.12662
65	1157	0.031	0.12875
66	1217	0.031	0.10885
67	1228	0.031	0.12504
68	1236	0.031	0.12866
69	1238	0.031	0.10197
70	1260	0.02822	0.12494
71	1271	0.031	0.12184
72	1274	0.031	0.12837
73	1300	0.031	0.12774
74	1314	0.031	0.11083
75	1320	0.031	0.12648
76	1339	0.031	0.12506
77	1346	0.031	0.12795
78	1350	0.031	0.12595
79	1372	0.031	0.12728
80	1373	0.031	0.12899
81	1376	0.031	0.11327
82	1389	0.031	0.12733
83	1392	0.031	0.12887
84	1393	0.031	0.12501
85	1426	0.031	0.12385
86	1445	0.031	0.1263
87	1453	0.031	0.1209
88	1454	0.031	0.11924
89	1468	0.031	0.12334
90	1482	0.031	0.12895
91	1484	0.031	0.1167
92	1496	0.031	0.12357
93	1497	0.031	0.12726
94	1537	0.031	0.12112
95	1557	0.031	0.093734
96	1570	0.031	0.11363
97	1572	0.031	0.10546
98	1586	0.031	0.12829
99	1596	0.031	0.12591
100	1600	0.031	0.12895
101	1602	0.031	0.12752
102	1626	0.031	0.1278
103	1633	0.031	0.12796
104	1646	0.031	0.12459
105	1656	0.031	0.12765
106	1658	0.031	0.10628
107	1673	0.031	0.10646
108	1686	0.029958	0.11609
109	1690	0.031	0.12208
110	1699	0.031	0.12784
111	1735	0.031	0.12654
112	1737	0.031	0.12776
113	1750	0.031	0.12332
114	1762	0.031	0.1225
115	1774	0.031	0.12681
116	1801	0.031	0.12577
117	1806	0.031	0.12245
118	1820	0.031	0.12654
119	1843	0.031	0.12888
120	1927	0.031	0.11089
121	1928	0.031	0.12858
122	1938	0.031	0.12467
123	1953	0.031	0.11784
124	1978	0.031	0.1271
125	2010	0.031	0.12346
126	2033	0.031	0.12793
127	2037	0.031	0.12831
128	2052	0.031	0.12736
129	2056	0.031	0.12044
130	2073	0.031	0.12891
131	2085	0.031	0.10752
132	2093	0.031	0.12873
133	2100	0.031	0.12761
134	2110	0.031	0.048925
135	2117	0.031	0.10246
136	2144	0.031	0.12797
137	2159	0.031	0.12825
138	2166	0.028984	0.11781
139	2177	0.031	0.12675
140	2199	0.031	0.12674
141	2248	0.031	0.12302
142	2257	0.031	0.12683
143	2260	0.031	0.12286
144	2273	0.031	0.1246
145	2276	0.030626	0.12532
146	2279	0.031	0.11185
147	2282	0.031	0.11792
148	2319	0.031	0.11432
149	2329	0.031	0.12729
150	2386	0.031	0.11004
151	2391	0.031	0.12391
152	2411	0.031	0.12886
153	2422	0.028752	0.12712
154	2427	0.031	0.1116
155	2435	0.031	0.12732
156	2443	0.031	0.12682
157	2452	0.031	0.10519
158	2457	0.031	0.12653
159	2470	0.031	0.10948
160	2485	0.031	0.12846
161	2527	0.031	0.12515
162	2553	0.031	0.12606
163	2554	0.031	0.08162
164	2559	0.031	0.12812
165	2564	0.031	0.12801
166	2566	0.031	0.12612
167	2574	0.031	0.12398
168	2579	0.031	0.12807
169	2582	0.031	0.12873
170	2615	0.031	0.12588
171	2618	0.031	0.10684
172	2643	0.031	0.12058
173	2701	0.031	0.11405
174	2763	0.031	0.11847
175	2809	0.031	0.12497
176	2811	0.031	0.12684
177	2827	0.031	0.12592
178	2862	0.031	0.12732
179	2882	0.031	0.12508
180	2902	0.031	0.12868
181	2903	0.031	0.11593
182	2920	0.031	0.12761
183	2924	0.031	0.12341
184	2986	0.031	0.12782
185	2991	0.031	0.12447
186	3041	0.031	0.12885
187	3056	0.031	0.12881
188	3067	0.031	0.12692
189	3073	0.031	0.12305
190	3090	0.027834	0.1155
191	3092	0.028364	0.12842
192	3096	0.031	0.12481
193	3123	0.031	0.12455
194	3127	0.031	0.12876
195	3130	0.031	0.1204
196	3169	0.031	0.12655
197	3200	0.031	0.11178
198	3201	0.031	0.12518
199	3234	0.030432	0.12707
200	3235	0.031	0.12561
201	3257	0.031	0.12613
202	3309	0.031	0.12809
203	3320	0.031	0.12236
204	3321	0.031	0.1221
205	3323	0.031	0.12342
206	3327	0.031	0.1191
207	3355	0.031	0.10453
208	3367	0.031	0.12431
209	3383	0.031	0.12203
210	3409	0.031	0.1095
211	3417	0.031	0.12399
212	3421	0.031	0.12863
213	3427	0.031	0.12418
214	3430	0.031	0.12637
215	3459	0.031	0.11804
216	3473	0.031	0.11717
217	3519	0.031	0.12844
218	3542	0.031	0.11899
219	3552	0.031	0.12673
220	3558	0.031	0.12508
221	3584	0.031	0.12719
222	3596	0.031	0.12813
223	3597	0.031	0.12728
224	3598	0.031	0.11554
225	3600	0.031	0.1274
226	3602	0.031	0.11984
227	3604	0.031	0.1274
228	3607	0.031	0.12877
229	3643	0.031	0.11922
230	3647	0.031	0.12669
231	3665	0.031	0.12775
232	3686	0.031	0.10976
233	3689	0.031	0.12844
234	3692	0.031	0.12182
235	3694	0.031	0.1232
236	3708	0.031	0.1287
237	3712	0.031	0.12144
238	3721	0.031	0.12271
239	3723	0.031	0.11778
240	3724	0.031	0.12676
241	3735	0.031	0.11827
242	3787	0.031	0.12868
243	3788	0.031	0.1261
244	3791	0.031	0.12673
245	3798	0.031	0.1239
246	3799	0.031	0.12489
247	3811	0.031	0.12897
248	3815	0.031	0.10424
249	3818	0.031	0.12724
250	3827	0.031	0.12746
251	3837	0.031	0.11114
252	3848	0.031	0.11996
253	3859	0.031	0.12673
254	3875	0.031	0.085851
255	3877	0.031	0.11289
256	3888	0.031	0.12825
257	3892	0.031	0.12216
258	3915	0.031	0.12808
259	3947	0.031	0.12886
260	3978	0.031	0.12852
261	4013	0.031	0.12777
262	4051	0.031	0.12331
263	4079	0.031	0.12764
264	4103	0.031	0.123
265	4127	0.031	0.12014
266	4130	0.031	0.12436
267	4142	0.031	0.12237
268	4155	0.031	0.12788
269	4167	0.031	0.12654
270	4195	0.031	0.12172
271	4196	0.031	0.12369
272	4200	0.031	0.12657
273	4230	0.031	0.12785
274	4254	0.031	0.12851
275	4258	0.031	0.1136
276	4260	0.031	0.12245
277	4261	0.031	0.12799
278	4269	0.031	0.12273
279	4285	0.031	0.10862
280	4286	0.031	0.12018
281	4307	0.031	0.12827
282	4310	0.031	0.12387
283	4314	0.031	0.12531
284	4331	0.031	0.12729
285	4340	0.031	0.12541
286	4350	0.031	0.12278
287	4353	0.031	0.12192
288	4373	0.031	0.12165
289	4386	0.031	0.12756
290	4387	0.031	0.12607
291	4408	0.031	0.12523
292	4414	0.031	0.11565
293	4454	0.031	0.12194
294	4467	0.031	0.12873
295	4521	0.031	0.098385
296	4558	0.031	0.12419
297	4559	0.031	0.12873
298	4573	0.031	0.12177
299	4586	0.031	0.092779
300	4615	0.031	0.12544
301	4655	0.031	0.11468
