ID	NPS	Energy1	Energy2
231	3699	0.25	0.012326
232	3706	0.14922	0.22069
233	3708	0.25	0.16941
234	3712	0.25	0.36168
235	3723	0.25	0.048538
236	3724	0.25	0.43379
237	3735	0.25	0.29534
238	3787	0.25	0.10417
239	3788	0.25	0.15765
240	3791	0.25	0.16102
241	3798	0.25	0.3853
242	3799	0.25	0.58496
243	3809	0.25	0.35917
244	3811	0.25	0.11416
245	3837	0.25	0.33394
246	3848	0.25	0.36989
247	3859	0.25	0.24277
248	3861	0.25	0.1407
249	3875	0.25	0.064007
250	3888	0.25	0.36308
251	3892	0.25	0.58274
252	3898	0.14255	0.42588
253	3915	0.25	0.15793
254	3947	0.25	0.25767
255	4013	0.25	0.47533
256	4033	0.25	0.50871
257	4034	0.25	0.39665
258	4048	0.25	0.31874
259	4051	0.25	0.6825
260	4103	0.25	0.50283
261	4142	0.25	0.59409
262	4151	0.25	0.60196
263	4155	0.25	0.40473
264	4167	0.25	0.30002
265	4195	0.25	0.59141
266	4200	0.25	0.42918
267	4230	0.25	0.46491
268	4231	0.25	0.41558
269	4254	0.25	0.08603
270	4257	0.18055	0.026737
271	4260	0.25	0.55219
272	4269	0.25	0.55451
273	4278	0.25	0.44658
274	4306	0.25	0.033154
275	4307	0.25	0.24315
276	4310	0.25	0.16136
277	4314	0.25	0.071842
278	4331	0.25	0.47457
279	4340	0.25	0.59313
280	4341	0.25	0.50086
281	4350	0.25	0.11727
282	4373	0.25	0.33054
283	4381	0.25	0.38086
284	4386	0.25	0.39638
285	4387	0.25	0.12844
286	4408	0.25	0.12281
287	4453	0.25	0.22601
288	4488	0.25	0.15344
289	4521	0.25	0.56587
290	4530	0.25	0.24139
291	4536	0.25	0.52009
292	4558	0.25	0.059211
293	4559	0.25	0.14685
294	4585	0.25	0.4113
295	4586	0.25	0.2167
296	4623	0.25	0.38722
297	4633	0.14343	0.26858
298	4655	0.25	0.19047
299	4656	0.25	0.11742
300	4664	0.25	0.29318
301	4666	0.25	0.3528
302	4724	0.25	0.24612
303	4732	0.25	0.52888
304	4745	0.25	0.096076
305	4755	0.25	0.11327
306	4760	0.25	0.38981
307	4761	0.18535	0.48607
308	4800	0.25	0.31806
309	4822	0.25	0.25455
310	4867	0.25	0.11574
311	4899	0.25	0.090608
312	4927	0.25	0.227
313	4931	0.25	0.29013
314	4934	0.25	0.67617
315	4936	0.25	0.40465
316	4942	0.1957	0.048219
317	4952	0.13791	0.11302
318	4953	0.25	0.21828
319	4963	0.25	0.24814
320	4986	0.25	0.28193
321	4990	0.25	0.23534
322	4996	0.25	0.044076
323	5003	0.25	0.034321
324	5010	0.25	0.032893
325	5013	0.25	0.42966
326	5021	0.25	0.70466
327	5029	0.25	0.13329
328	5058	0.25	0.68909
329	5067	0.21977	0.12082
330	5095	0.25	0.23771
331	5107	0.25	0.67528
332	5124	0.25	0.42137
333	5140	0.25	0.36572
334	5146	0.25	0.13192
335	5192	0.25	0.45497
336	5202	0.25	0.39397
337	5207	0.25	0.54347
338	5254	0.15856	0.31516
339	5288	0.25	0.3942
340	5292	0.25	0.33912
341	5295	0.25	0.21523
342	5312	0.25	0.19083
343	5327	0.25	0.29293
344	5337	0.25	0.26493
345	5340	0.25	0.30737
346	5343	0.25	0.58105
347	5351	0.25	0.42253
348	5414	0.25	0.71398
349	5422	0.25	0.18289
350	5428	0.25	0.23997
351	5444	0.25	0.29722
352	5447	0.25	0.22716
353	5467	0.25	0.65556
354	5489	0.25	0.22805
355	5492	0.25	0.061807
356	5496	0.25	0.35873
357	5514	0.25	0.19603
358	5546	0.25	0.10126
359	5565	0.25	0.12926
360	5570	0.25	0.091728
361	5583	0.25	0.62405
362	5620	0.25	0.12042
363	5636	0.25	0.6254
364	5644	0.25	0.13538
365	5683	0.25	0.19816
366	5698	0.25	0.20403
367	5712	0.25	0.38409
368	5716	0.25	0.094
369	5729	0.25	0.22202
370	5733	0.25	0.34032
371	5743	0.25	0.38368
372	5748	0.25	0.15714
373	5754	0.25	0.44429
374	5770	0.25	0.16312
375	5790	0.25	0.25122
376	5815	0.25	0.16519
377	5836	0.25	0.3641
378	5841	0.25	0.17684
379	5847	0.25	0.34567
380	5864	0.25	0.3283
381	5903	0.25	0.17012
382	5920	0.25	0.20162
383	5966	0.25	0.29844
384	6023	0.25	0.1811
385	6025	0.25	0.70559
386	6033	0.25	0.23321
387	6050	0.25	0.42345
388	6051	0.25	0.26748
389	6055	0.25	0.32684
390	6073	0.25	0.035106
391	6087	0.25	0.2346
392	6103	0.25	0.22518
393	6106	0.25	0.23959
394	6149	0.25	0.18956
395	6168	0.25	0.32325
396	6169	0.25	0.39011
397	6170	0.25	0.41857
398	6176	0.25	0.50076
399	6198	0.25	0.32602
400	6207	0.25	0.021741
401	6215	0.25	0.19621
402	6219	0.25	0.10172
403	6224	0.25	0.44403
404	6227	0.25	0.10111
405	6243	0.25	0.34282
406	6260	0.25	0.39156
407	6268	0.25	0.29885
408	6279	0.25	0.11275
409	6281	0.25	0.59569
410	6286	0.25	0.24565
411	6297	0.25	0.16856
412	6302	0.25	0.4152
413	6315	0.25	0.10358
414	6328	0.25	0.55477
415	6354	0.25	0.077826
416	6363	0.25	0.10846
417	6370	0.25	0.31038
418	6382	0.25	0.058707
419	6388	0.25	0.29466
420	6417	0.25	0.20955
421	6419	0.25	0.21918
422	6422	0.25	0.52314
423	6433	0.25	0.23132
424	6440	0.25	0.5445
425	6442	0.25	0.25746
426	6472	0.25	0.46263
427	6480	0.25	0.33837
428	6544	0.25	0.02893
429	6597	0.25	0.67273
430	6606	0.25	0.31549
431	6618	0.25	0.50804
432	6622	0.25	0.57356
433	6647	0.25	0.62154
